knelpunt_nummer,knelpunt_naam,knelpunt_omschrijving,rapport_nummer,rapport_naam,rapport_bestandsnaam,maatregel_nummer,maatregel_naam,toelichting_budgettair_effect,budgettair_effect_structureel,range_maximum
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,2, Box 1,2. belasten-van-inkomsten-in-box-1.pdf,11,Algemene heffingskorting inkomensonafhankelijk maken door aanpassing tariefstructuur, ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,2, Box 1,2. belasten-van-inkomsten-in-box-1.pdf,12,Arbeidskorting inkomensonafhankelijk maken door aanpassing tariefstructuur, ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,2, Box 1,2. belasten-van-inkomsten-in-box-1.pdf,13,Aftrekposten omzetten in heffingskortingen, ,1.2,2.2
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,2, Box 1,2. belasten-van-inkomsten-in-box-1.pdf,14,IACK afschaffen, ,1.9, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,2, Box 1,2. belasten-van-inkomsten-in-box-1.pdf,15,WML verhogen en algemene heffingskorting (AHK) verlagen, ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,2, Box 1,2. belasten-van-inkomsten-in-box-1.pdf,16,Equivalentiefactoren toepassen op de hoogte heffingskortingen, ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,2, Box 1,2. belasten-van-inkomsten-in-box-1.pdf,17,Verhogen afbouwpunt algemene heffingskorting met € 5.000, ,-1.5699999999999998, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,139,Herziening systematiek werkgeversbetalingen (betaling UWV-uitkeringen via de werkgever), ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,140,Vereenvoudigen heffing energiebelasting bij energiediefstal, ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,141,Afschaffen mogelijkheid om verliezen achterwaarts te verrekenen in de Vpb (carry-back), ,0.07, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,142,Wettelijke herzieningsregeling aanvullingen aangifte (bezwaarprocedures IB), ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,143,Automatische opschorting verjaringstermijn, ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,144,Aanpassen overgangsregeling oldtimers (toezicht mogelijk maken), ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,145,Aanpassen overgangsregeling oldtimers (vervangen door kwarttarief), ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,146,Forfaitaire correctie privégebruik auto in de BTW,Nader te bepalen,-, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,147,Vereenvoudigen energiebelasting bij aggregaten, ,0.014, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,148,Afschaffen aftrekverbod aan- en verkoopkosten deelnemingen (Vpb), ,-0.6, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,149,Gebruikelijk loon: vaststellen per sector,Nader te bepalen,-, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,150,Gebruikelijk loon : tegenbewijs in geval van verlies ,Nader te bepalen,-, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,151,Wijziging fiscale behandeling partneralimentatie m.b.t. woongenot, ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,152,Beperking van de BOR en de doorschuifregeling door het uitsluiten van verhuur van vastgoed, ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,153,Afschaffing van de bedrijfsopvolgingsfaciliteit voor de schenk- en erfbelasting , ,0.337, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,154,Ontmoedigen samenwerkingsverband met de eigen bv,Nader te bepalen,-, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,155,Afschaffen bijzondere regelingen in de mrb, ,0.35, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,156,Teruggaafregelingen in de energiebelasting afschaffen, ,0.167, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,157,Afschaffing premie voor het Uitvoeringsfonds voor de overheid,Nader te bepalen,-, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,158,Aanpassen schorsingsregeling (toegestaan weggebruik verduidelijken), ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,159,Waarderingsvoorschrift kansspelbelasting: prijzen in natura, ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,160,Familiebegrippen in de schenk- en erfbelasting aanpassen, ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,161,(verzuim-)Boete bij niet- of niet tijdig aanleveren van gevraagde gegevens door de Belastingdienst op basis van de artikelen 47 en 53 AWR., ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,162,Vereenvoudigen of afschaffen aftrek uitgaven voor specifieke zorgkosten,Nader te bepalen,-, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,163,Inwinnen factor A, ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,164,Afschaffing WOM-vrijstellingen, ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,165,Afschaffen verlaagd accijnstarief kleine brouwerijen, ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,166,Afschaffen van de middelingsregeling, ,0.09, 
